Comunidad autónoma de destino;Periodo;Total
07 Castilla y León;2018M05;123.615
07 Castilla y León;2018M04;117.466
07 Castilla y León;2018M03;92.494
07 Castilla y León;2018M02;60.836
07 Castilla y León;2018M01;83.592
07 Castilla y León;2017M12;73.640
07 Castilla y León;2017M11;61.960
07 Castilla y León;2017M10;114.733
07 Castilla y León;2017M09;137.293
07 Castilla y León;2017M08;254.118
07 Castilla y León;2017M07;229.178
07 Castilla y León;2017M06;116.955
07 Castilla y León;2017M05;145.631
07 Castilla y León;2017M04;128.877
07 Castilla y León;2017M03;82.902
07 Castilla y León;2017M02;47.672
07 Castilla y León;2017M01;65.587
07 Castilla y León;2016M12;79.838
07 Castilla y León;2016M11;72.520
07 Castilla y León;2016M10;98.522
07 Castilla y León;2016M09;155.882
07 Castilla y León;2016M08;236.355
07 Castilla y León;2016M07;140.187
07 Castilla y León;2016M06;93.953
07 Castilla y León;2016M05;102.486
07 Castilla y León;2016M04;97.628
07 Castilla y León;2016M03;66.783
07 Castilla y León;2016M02;39.775
07 Castilla y León;2016M01;41.401
07 Castilla y León;2015M12;69.920
07 Castilla y León;2015M11;62.519
07 Castilla y León;2015M10;124.362
08 Castilla - La Mancha;2024M12;.
08 Castilla - La Mancha;2024M11;.
08 Castilla - La Mancha;2024M10;17.419
08 Castilla - La Mancha;2024M09;22.383
08 Castilla - La Mancha;2024M08;27.150
08 Castilla - La Mancha;2024M07;25.556
08 Castilla - La Mancha;2024M06;15.739
08 Castilla - La Mancha;2024M05;.
08 Castilla - La Mancha;2024M04;.
08 Castilla - La Mancha;2024M03;.
08 Castilla - La Mancha;2024M02;.
08 Castilla - La Mancha;2024M01;27.244
08 Castilla - La Mancha;2023M12;.
08 Castilla - La Mancha;2023M11;.
08 Castilla - La Mancha;2023M10;21.800
08 Castilla - La Mancha;2023M09;22.787
08 Castilla - La Mancha;2023M08;24.456
08 Castilla - La Mancha;2023M07;13.297
08 Castilla - La Mancha;2023M06;.
08 Castilla - La Mancha;2023M05;.
08 Castilla - La Mancha;2023M04;30.140
08 Castilla - La Mancha;2023M03;.
08 Castilla - La Mancha;2023M02;.
08 Castilla - La Mancha;2023M01;24.021
08 Castilla - La Mancha;2022M12;.
08 Castilla - La Mancha;2022M11;.
08 Castilla - La Mancha;2022M10;18.773
08 Castilla - La Mancha;2022M09;28.896
08 Castilla - La Mancha;2022M08;18.897
08 Castilla - La Mancha;2022M07;21.873
08 Castilla - La Mancha;2022M06;10.674
08 Castilla - La Mancha;2022M05;22.601
08 Castilla - La Mancha;2022M04;17.944
08 Castilla - La Mancha;2022M03;11.051
08 Castilla - La Mancha;2022M02;.
08 Castilla - La Mancha;2022M01;10.405
08 Castilla - La Mancha;2021M12;12.969
08 Castilla - La Mancha;2021M11;.
08 Castilla - La Mancha;2021M10;17.936
08 Castilla - La Mancha;2021M09;15.150
08 Castilla - La Mancha;2021M08;12.388
08 Castilla - La Mancha;2021M07;11.670
08 Castilla - La Mancha;2021M06;6.199
08 Castilla - La Mancha;2021M05;3.663
08 Castilla - La Mancha;2021M04;.
08 Castilla - La Mancha;2021M03;.
08 Castilla - La Mancha;2021M02;.
08 Castilla - La Mancha;2021M01;4.401
08 Castilla - La Mancha;2020M12;22.485
08 Castilla - La Mancha;2020M11;3.693
08 Castilla - La Mancha;2020M10;3.825
08 Castilla - La Mancha;2020M09;7.557
08 Castilla - La Mancha;2020M08;8.747
08 Castilla - La Mancha;2020M07;7.625
08 Castilla - La Mancha;2020M06;.
08 Castilla - La Mancha;2020M05;.
08 Castilla - La Mancha;2020M04;.
08 Castilla - La Mancha;2020M03;.
08 Castilla - La Mancha;2020M02;.
08 Castilla - La Mancha;2020M01;22.625
08 Castilla - La Mancha;2019M12;21.207
08 Castilla - La Mancha;2019M11;13.442
08 Castilla - La Mancha;2019M10;20.476
08 Castilla - La Mancha;2019M09;23.361
08 Castilla - La Mancha;2019M08;34.873
08 Castilla - La Mancha;2019M07;24.003
08 Castilla - La Mancha;2019M06;19.678
08 Castilla - La Mancha;2019M05;20.950
08 Castilla - La Mancha;2019M04;18.294
08 Castilla - La Mancha;2019M03;25.270
08 Castilla - La Mancha;2019M02;19.447
08 Castilla - La Mancha;2019M01;21.043
08 Castilla - La Mancha;2018M12;.
08 Castilla - La Mancha;2018M11;.
08 Castilla - La Mancha;2018M10;21.964
08 Castilla - La Mancha;2018M09;24.483
08 Castilla - La Mancha;2018M08;34.430
08 Castilla - La Mancha;2018M07;19.817
08 Castilla - La Mancha;2018M06;16.757
08 Castilla - La Mancha;2018M05;.
08 Castilla - La Mancha;2018M04;24.811
08 Castilla - La Mancha;2018M03;.
08 Castilla - La Mancha;2018M02;11.535
08 Castilla - La Mancha;2018M01;16.726
08 Castilla - La Mancha;2017M12;.
08 Castilla - La Mancha;2017M11;.
08 Castilla - La Mancha;2017M10;.
08 Castilla - La Mancha;2017M09;21.855
08 Castilla - La Mancha;2017M08;30.674
08 Castilla - La Mancha;2017M07;19.642
08 Castilla - La Mancha;2017M06;.
08 Castilla - La Mancha;2017M05;.
08 Castilla - La Mancha;2017M04;20.832
08 Castilla - La Mancha;2017M03;21.648
08 Castilla - La Mancha;2017M02;10.201
08 Castilla - La Mancha;2017M01;22.629
08 Castilla - La Mancha;2016M12;16.278
08 Castilla - La Mancha;2016M11;.
08 Castilla - La Mancha;2016M10;.
08 Castilla - La Mancha;2016M09;21.727
08 Castilla - La Mancha;2016M08;36.481
08 Castilla - La Mancha;2016M07;18.146
08 Castilla - La Mancha;2016M06;26.200
08 Castilla - La Mancha;2016M05;12.712
08 Castilla - La Mancha;2016M04;20.722
08 Castilla - La Mancha;2016M03;.
08 Castilla - La Mancha;2016M02;.
08 Castilla - La Mancha;2016M01;14.480
08 Castilla - La Mancha;2015M12;17.931
08 Castilla - La Mancha;2015M11;.
08 Castilla - La Mancha;2015M10;.
09 Cataluña;2024M12;1.073.406
09 Cataluña;2024M11;1.256.642
09 Cataluña;2024M10;1.827.361
09 Cataluña;2024M09;2.033.263
09 Cataluña;2024M08;2.287.846
09 Cataluña;2024M07;2.394.535
09 Cataluña;2024M06;2.003.863
09 Cataluña;2024M05;2.038.608
09 Cataluña;2024M04;1.669.473
09 Cataluña;2024M03;1.346.429
09 Cataluña;2024M02;1.049.744
09 Cataluña;2024M01;958.726
09 Cataluña;2023M12;1.020.095
09 Cataluña;2023M11;1.145.608
09 Cataluña;2023M10;1.669.786
09 Cataluña;2023M09;1.818.670
09 Cataluña;2023M08;2.154.210
09 Cataluña;2023M07;2.309.021
09 Cataluña;2023M06;1.819.708
09 Cataluña;2023M05;1.924.278
09 Cataluña;2023M04;1.541.270
09 Cataluña;2023M03;1.052.638
09 Cataluña;2023M02;930.178
09 Cataluña;2023M01;797.150
09 Cataluña;2022M12;814.112
09 Cataluña;2022M11;957.123
09 Cataluña;2022M10;1.484.838
09 Cataluña;2022M09;1.642.389
09 Cataluña;2022M08;1.901.752
09 Cataluña;2022M07;1.995.729
09 Cataluña;2022M06;1.631.067
09 Cataluña;2022M05;1.474.935
09 Cataluña;2022M04;1.156.887
09 Cataluña;2022M03;708.963
09 Cataluña;2022M02;619.075
09 Cataluña;2022M01;465.172
09 Cataluña;2021M12;558.338
09 Cataluña;2021M11;616.059
09 Cataluña;2021M10;868.763
09 Cataluña;2021M09;877.825
09 Cataluña;2021M08;1.076.756
09 Cataluña;2021M07;815.654
09 Cataluña;2021M06;404.336
09 Cataluña;2021M05;251.155
09 Cataluña;2021M04;93.535
09 Cataluña;2021M03;85.627
09 Cataluña;2021M02;54.348
09 Cataluña;2021M01;85.440
09 Cataluña;2020M12;97.489
09 Cataluña;2020M11;58.838
09 Cataluña;2020M10;231.004
09 Cataluña;2020M09;275.206
09 Cataluña;2020M08;458.349
09 Cataluña;2020M07;436.941
09 Cataluña;2020M06;76.780
09 Cataluña;2020M05;.
09 Cataluña;2020M04;.
09 Cataluña;2020M03;399.140
09 Cataluña;2020M02;966.356
09 Cataluña;2020M01;870.157
09 Cataluña;2019M12;993.169
09 Cataluña;2019M11;1.047.153
09 Cataluña;2019M10;1.676.430
09 Cataluña;2019M09;2.011.704
09 Cataluña;2019M08;2.363.331
09 Cataluña;2019M07;2.378.593
09 Cataluña;2019M06;2.176.726
09 Cataluña;2019M05;1.835.129
09 Cataluña;2019M04;1.671.426
09 Cataluña;2019M03;1.280.871
09 Cataluña;2019M02;1.030.292
09 Cataluña;2019M01;910.329
09 Cataluña;2018M12;969.322
09 Cataluña;2018M11;1.034.633
09 Cataluña;2018M10;1.665.215
09 Cataluña;2018M09;2.007.474
09 Cataluña;2018M08;2.433.300
09 Cataluña;2018M07;2.427.842
09 Cataluña;2018M06;2.104.373
09 Cataluña;2018M05;1.885.365
09 Cataluña;2018M04;1.570.899
09 Cataluña;2018M03;1.217.330
09 Cataluña;2018M02;1.015.793
09 Cataluña;2018M01;864.798
09 Cataluña;2017M12;822.765
09 Cataluña;2017M11;981.462
09 Cataluña;2017M10;1.497.032
09 Cataluña;2017M09;1.999.689
09 Cataluña;2017M08;2.567.612
09 Cataluña;2017M07;2.557.125
09 Cataluña;2017M06;2.026.356
09 Cataluña;2017M05;1.920.946
09 Cataluña;2017M04;1.755.019
09 Cataluña;2017M03;1.155.003
09 Cataluña;2017M02;989.198
09 Cataluña;2017M01;846.213
09 Cataluña;2016M12;956.468
09 Cataluña;2016M11;1.009.971
09 Cataluña;2016M10;1.562.897
09 Cataluña;2016M09;1.876.937
09 Cataluña;2016M08;2.501.193
09 Cataluña;2016M07;2.394.803
09 Cataluña;2016M06;1.850.823
09 Cataluña;2016M05;1.630.433
09 Cataluña;2016M04;1.483.021
09 Cataluña;2016M03;1.076.434
09 Cataluña;2016M02;930.354
09 Cataluña;2016M01;865.842
09 Cataluña;2015M12;890.133
09 Cataluña;2015M11;1.029.270
09 Cataluña;2015M10;1.521.926
10 Comunitat Valenciana;2024M12;667.825
10 Comunitat Valenciana;2024M11;680.693
10 Comunitat Valenciana;2024M10;1.134.923
10 Comunitat Valenciana;2024M09;1.196.583
10 Comunitat Valenciana;2024M08;1.472.421
10 Comunitat Valenciana;2024M07;1.476.378
10 Comunitat Valenciana;2024M06;1.120.102
10 Comunitat Valenciana;2024M05;1.152.053
10 Comunitat Valenciana;2024M04;1.007.531
10 Comunitat Valenciana;2024M03;826.970
10 Comunitat Valenciana;2024M02;583.470
10 Comunitat Valenciana;2024M01;619.718
10 Comunitat Valenciana;2023M12;712.546
10 Comunitat Valenciana;2023M11;653.407
10 Comunitat Valenciana;2023M10;1.033.167
10 Comunitat Valenciana;2023M09;1.042.340
10 Comunitat Valenciana;2023M08;1.272.665
10 Comunitat Valenciana;2023M07;1.332.110
10 Comunitat Valenciana;2023M06;937.202
10 Comunitat Valenciana;2023M05;1.001.303
10 Comunitat Valenciana;2023M04;866.776
10 Comunitat Valenciana;2023M03;660.566
10 Comunitat Valenciana;2023M02;481.913
10 Comunitat Valenciana;2023M01;480.171
10 Comunitat Valenciana;2022M12;513.864
10 Comunitat Valenciana;2022M11;519.058
10 Comunitat Valenciana;2022M10;865.642
10 Comunitat Valenciana;2022M09;937.745
10 Comunitat Valenciana;2022M08;1.057.976
10 Comunitat Valenciana;2022M07;1.126.932
10 Comunitat Valenciana;2022M06;850.991
10 Comunitat Valenciana;2022M05;793.403
10 Comunitat Valenciana;2022M04;785.176
10 Comunitat Valenciana;2022M03;491.399
10 Comunitat Valenciana;2022M02;393.393
10 Comunitat Valenciana;2022M01;280.868
10 Comunitat Valenciana;2021M12;381.422
10 Comunitat Valenciana;2021M11;384.253
10 Comunitat Valenciana;2021M10;641.582
10 Comunitat Valenciana;2021M09;641.919
10 Comunitat Valenciana;2021M08;754.050
10 Comunitat Valenciana;2021M07;607.165
10 Comunitat Valenciana;2021M06;271.231
10 Comunitat Valenciana;2021M05;141.587
10 Comunitat Valenciana;2021M04;71.493
10 Comunitat Valenciana;2021M03;46.945
10 Comunitat Valenciana;2021M02;28.152
10 Comunitat Valenciana;2021M01;49.970
10 Comunitat Valenciana;2020M12;71.873
10 Comunitat Valenciana;2020M11;53.870
10 Comunitat Valenciana;2020M10;177.332
10 Comunitat Valenciana;2020M09;185.154
10 Comunitat Valenciana;2020M08;429.850
10 Comunitat Valenciana;2020M07;383.051
10 Comunitat Valenciana;2020M06;31.385
10 Comunitat Valenciana;2020M05;.
10 Comunitat Valenciana;2020M04;.
10 Comunitat Valenciana;2020M03;248.509
10 Comunitat Valenciana;2020M02;528.712
10 Comunitat Valenciana;2020M01;433.023
10 Comunitat Valenciana;2019M12;454.520
10 Comunitat Valenciana;2019M11;541.121
10 Comunitat Valenciana;2019M10;870.088
10 Comunitat Valenciana;2019M09;1.011.901
10 Comunitat Valenciana;2019M08;1.270.706
10 Comunitat Valenciana;2019M07;1.243.375
10 Comunitat Valenciana;2019M06;938.591
10 Comunitat Valenciana;2019M05;857.711
10 Comunitat Valenciana;2019M04;826.158
10 Comunitat Valenciana;2019M03;648.462
10 Comunitat Valenciana;2019M02;459.309
10 Comunitat Valenciana;2019M01;413.553
10 Comunitat Valenciana;2018M12;427.830
10 Comunitat Valenciana;2018M11;497.041
10 Comunitat Valenciana;2018M10;861.013
10 Comunitat Valenciana;2018M09;1.005.841
10 Comunitat Valenciana;2018M08;1.175.555
10 Comunitat Valenciana;2018M07;1.132.280
10 Comunitat Valenciana;2018M06;901.232
10 Comunitat Valenciana;2018M05;910.651
10 Comunitat Valenciana;2018M04;769.612
10 Comunitat Valenciana;2018M03;625.460
10 Comunitat Valenciana;2018M02;449.519
10 Comunitat Valenciana;2018M01;450.874
10 Comunitat Valenciana;2017M12;400.590
10 Comunitat Valenciana;2017M11;452.023
10 Comunitat Valenciana;2017M10;812.655
10 Comunitat Valenciana;2017M09;982.638
10 Comunitat Valenciana;2017M08;1.158.902
10 Comunitat Valenciana;2017M07;1.217.502
10 Comunitat Valenciana;2017M06;873.923
10 Comunitat Valenciana;2017M05;918.843
10 Comunitat Valenciana;2017M04;749.885
10 Comunitat Valenciana;2017M03;526.701
10 Comunitat Valenciana;2017M02;429.384
10 Comunitat Valenciana;2017M01;402.914
10 Comunitat Valenciana;2016M12;366.649
10 Comunitat Valenciana;2016M11;377.912
10 Comunitat Valenciana;2016M10;761.381
10 Comunitat Valenciana;2016M09;779.057
10 Comunitat Valenciana;2016M08;1.117.241
10 Comunitat Valenciana;2016M07;1.040.949
10 Comunitat Valenciana;2016M06;729.855
10 Comunitat Valenciana;2016M05;767.289
10 Comunitat Valenciana;2016M04;643.239
10 Comunitat Valenciana;2016M03;480.476
10 Comunitat Valenciana;2016M02;349.586
10 Comunitat Valenciana;2016M01;318.136
10 Comunitat Valenciana;2015M12;320.260
10 Comunitat Valenciana;2015M11;319.290
10 Comunitat Valenciana;2015M10;624.144
11 Extremadura;2024M12;.
11 Extremadura;2024M11;.
11 Extremadura;2024M10;.
11 Extremadura;2024M09;.
11 Extremadura;2024M08;25.077
11 Extremadura;2024M07;.
11 Extremadura;2024M06;.
11 Extremadura;2024M05;17.704
11 Extremadura;2024M04;.
11 Extremadura;2024M03;.
11 Extremadura;2024M02;.
11 Extremadura;2024M01;16.418
11 Extremadura;2023M12;.
11 Extremadura;2023M11;.
11 Extremadura;2023M10;20.867
11 Extremadura;2023M09;17.274
11 Extremadura;2023M08;34.651
11 Extremadura;2023M07;32.661
11 Extremadura;2023M06;.
11 Extremadura;2023M05;.
11 Extremadura;2023M04;24.922
11 Extremadura;2023M03;.
11 Extremadura;2023M02;.
11 Extremadura;2023M01;28.200
11 Extremadura;2022M12;.
11 Extremadura;2022M11;.
11 Extremadura;2022M10;25.867
11 Extremadura;2022M09;29.947
11 Extremadura;2022M08;36.767
11 Extremadura;2022M07;38.624
11 Extremadura;2022M06;.
11 Extremadura;2022M05;32.484
11 Extremadura;2022M04;22.960
11 Extremadura;2022M03;23.144
11 Extremadura;2022M02;.
11 Extremadura;2022M01;24.188
11 Extremadura;2021M12;.
11 Extremadura;2021M11;25.825
11 Extremadura;2021M10;29.070
11 Extremadura;2021M09;30.292
11 Extremadura;2021M08;23.904
11 Extremadura;2021M07;26.064
11 Extremadura;2021M06;.
11 Extremadura;2021M05;.
11 Extremadura;2021M04;.
11 Extremadura;2021M03;.
11 Extremadura;2021M02;.
11 Extremadura;2021M01;11.679
11 Extremadura;2020M12;.
11 Extremadura;2020M11;.
11 Extremadura;2020M10;.
11 Extremadura;2020M09;13.398
11 Extremadura;2020M08;12.517
11 Extremadura;2020M07;.
11 Extremadura;2020M06;.
11 Extremadura;2020M05;.
11 Extremadura;2020M04;.
11 Extremadura;2020M03;.
11 Extremadura;2020M02;.
11 Extremadura;2020M01;.
11 Extremadura;2019M12;.
11 Extremadura;2019M11;.
11 Extremadura;2019M10;83.353
11 Extremadura;2019M09;.
11 Extremadura;2019M08;35.727
11 Extremadura;2019M07;.
11 Extremadura;2019M06;.
11 Extremadura;2019M05;.
11 Extremadura;2019M04;45.276
11 Extremadura;2019M03;.
11 Extremadura;2019M02;.
11 Extremadura;2019M01;.
11 Extremadura;2018M12;.
11 Extremadura;2018M11;.
11 Extremadura;2018M10;.
11 Extremadura;2018M09;.
11 Extremadura;2018M08;38.963
11 Extremadura;2018M07;40.495
11 Extremadura;2018M06;.
11 Extremadura;2018M05;38.674
11 Extremadura;2018M04;61.924
11 Extremadura;2018M03;.
11 Extremadura;2018M02;.
11 Extremadura;2018M01;23.150
11 Extremadura;2017M12;.
11 Extremadura;2017M11;24.117
11 Extremadura;2017M10;31.530
11 Extremadura;2017M09;.
11 Extremadura;2017M08;49.555
11 Extremadura;2017M07;28.954
11 Extremadura;2017M06;.
11 Extremadura;2017M05;.
11 Extremadura;2017M04;41.440
11 Extremadura;2017M03;.
11 Extremadura;2017M02;.
11 Extremadura;2017M01;24.059
11 Extremadura;2016M12;.
11 Extremadura;2016M11;.
11 Extremadura;2016M10;.
11 Extremadura;2016M09;33.791
11 Extremadura;2016M08;42.408
11 Extremadura;2016M07;29.858
11 Extremadura;2016M06;.
11 Extremadura;2016M05;17.034
11 Extremadura;2016M04;.
11 Extremadura;2016M03;.
11 Extremadura;2016M02;.
11 Extremadura;2016M01;.
11 Extremadura;2015M12;20.886
11 Extremadura;2015M11;.
11 Extremadura;2015M10;23.600
12 Galicia;2024M12;159.658
12 Galicia;2024M11;108.397
12 Galicia;2024M10;148.310
12 Galicia;2024M09;187.066
12 Galicia;2024M08;305.870
12 Galicia;2024M07;184.325
12 Galicia;2024M06;158.761
12 Galicia;2024M05;179.368
12 Galicia;2024M04;146.668
12 Galicia;2024M03;96.705
12 Galicia;2024M02;79.395
12 Galicia;2024M01;87.334
12 Galicia;2023M12;184.891
12 Galicia;2023M11;77.064
12 Galicia;2023M10;132.476
12 Galicia;2023M09;166.960
12 Galicia;2023M08;276.973
12 Galicia;2023M07;163.065
12 Galicia;2023M06;128.255
12 Galicia;2023M05;133.344
12 Galicia;2023M04;119.551
12 Galicia;2023M03;86.616
12 Galicia;2023M02;70.892
12 Galicia;2023M01;76.843
12 Galicia;2022M12;105.967
12 Galicia;2022M11;65.194
12 Galicia;2022M10;107.745
12 Galicia;2022M09;136.756
12 Galicia;2022M08;185.975
12 Galicia;2022M07;163.869
12 Galicia;2022M06;114.104
12 Galicia;2022M05;109.891
12 Galicia;2022M04;99.487
12 Galicia;2022M03;66.237
12 Galicia;2022M02;56.037
12 Galicia;2022M01;60.632
12 Galicia;2021M12;66.480
12 Galicia;2021M11;71.257
12 Galicia;2021M10;93.770
12 Galicia;2021M09;101.906
12 Galicia;2021M08;160.711
12 Galicia;2021M07;101.975
12 Galicia;2021M06;64.507
12 Galicia;2021M05;44.381
12 Galicia;2021M04;20.330
12 Galicia;2021M03;14.907
12 Galicia;2021M02;12.895
12 Galicia;2021M01;19.333
12 Galicia;2020M12;28.072
12 Galicia;2020M11;20.396
12 Galicia;2020M10;55.011
12 Galicia;2020M09;56.094
12 Galicia;2020M08;99.146
12 Galicia;2020M07;83.676
12 Galicia;2020M06;.
12 Galicia;2020M05;.
12 Galicia;2020M04;.
12 Galicia;2020M03;35.058
12 Galicia;2020M02;78.075
12 Galicia;2020M01;83.310
12 Galicia;2019M12;81.580
12 Galicia;2019M11;78.657
12 Galicia;2019M10;130.287
12 Galicia;2019M09;182.609
12 Galicia;2019M08;287.257
12 Galicia;2019M07;191.003
12 Galicia;2019M06;145.895
12 Galicia;2019M05;115.939
12 Galicia;2019M04;146.827
12 Galicia;2019M03;98.314
12 Galicia;2019M02;84.720
12 Galicia;2019M01;81.621
12 Galicia;2018M12;83.044
12 Galicia;2018M11;78.633
12 Galicia;2018M10;125.067
12 Galicia;2018M09;183.893
12 Galicia;2018M08;279.522
12 Galicia;2018M07;162.782
12 Galicia;2018M06;133.330
12 Galicia;2018M05;147.640
12 Galicia;2018M04;125.284
12 Galicia;2018M03;73.111
12 Galicia;2018M02;54.926
12 Galicia;2018M01;65.278
12 Galicia;2017M12;80.079
12 Galicia;2017M11;79.861
12 Galicia;2017M10;108.060
12 Galicia;2017M09;168.984
12 Galicia;2017M08;232.519
12 Galicia;2017M07;180.856
12 Galicia;2017M06;148.014
12 Galicia;2017M05;98.748
12 Galicia;2017M04;74.150
12 Galicia;2017M03;43.809
12 Galicia;2017M02;33.868
12 Galicia;2017M01;42.138
12 Galicia;2016M12;52.879
12 Galicia;2016M11;62.840
12 Galicia;2016M10;92.218
12 Galicia;2016M09;99.596
12 Galicia;2016M08;210.776
12 Galicia;2016M07;131.729
12 Galicia;2016M06;116.353
12 Galicia;2016M05;74.531
12 Galicia;2016M04;84.820
12 Galicia;2016M03;41.650
12 Galicia;2016M02;36.099
12 Galicia;2016M01;31.655
12 Galicia;2015M12;29.019
12 Galicia;2015M11;40.529
12 Galicia;2015M10;103.929
13 Madrid, Comunidad de;2024M12;602.274
13 Madrid, Comunidad de;2024M11;718.300
13 Madrid, Comunidad de;2024M10;864.513
13 Madrid, Comunidad de;2024M09;817.242
13 Madrid, Comunidad de;2024M08;639.316
13 Madrid, Comunidad de;2024M07;743.601
13 Madrid, Comunidad de;2024M06;844.277
13 Madrid, Comunidad de;2024M05;878.117
13 Madrid, Comunidad de;2024M04;809.329
13 Madrid, Comunidad de;2024M03;711.554
13 Madrid, Comunidad de;2024M02;585.156
13 Madrid, Comunidad de;2024M01;609.325
13 Madrid, Comunidad de;2023M12;605.809
13 Madrid, Comunidad de;2023M11;673.552
13 Madrid, Comunidad de;2023M10;822.942
13 Madrid, Comunidad de;2023M09;769.335
13 Madrid, Comunidad de;2023M08;625.174
13 Madrid, Comunidad de;2023M07;664.448
13 Madrid, Comunidad de;2023M06;745.111
13 Madrid, Comunidad de;2023M05;706.226
13 Madrid, Comunidad de;2023M04;666.477
13 Madrid, Comunidad de;2023M03;594.544
13 Madrid, Comunidad de;2023M02;453.650
13 Madrid, Comunidad de;2023M01;518.799
13 Madrid, Comunidad de;2022M12;440.604
13 Madrid, Comunidad de;2022M11;540.723
13 Madrid, Comunidad de;2022M10;688.660
13 Madrid, Comunidad de;2022M09;602.463
13 Madrid, Comunidad de;2022M08;447.380
13 Madrid, Comunidad de;2022M07;626.638
13 Madrid, Comunidad de;2022M06;605.892
13 Madrid, Comunidad de;2022M05;571.014
13 Madrid, Comunidad de;2022M04;546.380
13 Madrid, Comunidad de;2022M03;447.532
13 Madrid, Comunidad de;2022M02;282.914
13 Madrid, Comunidad de;2022M01;247.982
13 Madrid, Comunidad de;2021M12;292.788
13 Madrid, Comunidad de;2021M11;375.608
13 Madrid, Comunidad de;2021M10;362.704
13 Madrid, Comunidad de;2021M09;258.228
13 Madrid, Comunidad de;2021M08;231.016
13 Madrid, Comunidad de;2021M07;219.112
13 Madrid, Comunidad de;2021M06;139.091
13 Madrid, Comunidad de;2021M05;86.696
13 Madrid, Comunidad de;2021M04;65.324
13 Madrid, Comunidad de;2021M03;69.319
13 Madrid, Comunidad de;2021M02;31.596
13 Madrid, Comunidad de;2021M01;45.585
13 Madrid, Comunidad de;2020M12;47.914
13 Madrid, Comunidad de;2020M11;45.352
13 Madrid, Comunidad de;2020M10;39.638
13 Madrid, Comunidad de;2020M09;48.085
13 Madrid, Comunidad de;2020M08;60.772
13 Madrid, Comunidad de;2020M07;76.258
13 Madrid, Comunidad de;2020M06;20.221
13 Madrid, Comunidad de;2020M05;.
13 Madrid, Comunidad de;2020M04;.
13 Madrid, Comunidad de;2020M03;250.316
13 Madrid, Comunidad de;2020M02;518.594
13 Madrid, Comunidad de;2020M01;611.184
13 Madrid, Comunidad de;2019M12;528.787
13 Madrid, Comunidad de;2019M11;665.927
13 Madrid, Comunidad de;2019M10;742.086
13 Madrid, Comunidad de;2019M09;667.799
13 Madrid, Comunidad de;2019M08;542.359
13 Madrid, Comunidad de;2019M07;626.031
13 Madrid, Comunidad de;2019M06;702.026
13 Madrid, Comunidad de;2019M05;758.323
13 Madrid, Comunidad de;2019M04;640.694
13 Madrid, Comunidad de;2019M03;683.364
13 Madrid, Comunidad de;2019M02;499.245
13 Madrid, Comunidad de;2019M01;584.339
13 Madrid, Comunidad de;2018M12;526.753
13 Madrid, Comunidad de;2018M11;603.691
13 Madrid, Comunidad de;2018M10;709.987
13 Madrid, Comunidad de;2018M09;697.128
13 Madrid, Comunidad de;2018M08;507.079
13 Madrid, Comunidad de;2018M07;619.516
13 Madrid, Comunidad de;2018M06;603.147
13 Madrid, Comunidad de;2018M05;659.045
13 Madrid, Comunidad de;2018M04;631.303
13 Madrid, Comunidad de;2018M03;560.178
13 Madrid, Comunidad de;2018M02;485.810
13 Madrid, Comunidad de;2018M01;536.137
13 Madrid, Comunidad de;2017M12;476.155
13 Madrid, Comunidad de;2017M11;534.430
13 Madrid, Comunidad de;2017M10;628.904
13 Madrid, Comunidad de;2017M09;639.120
13 Madrid, Comunidad de;2017M08;530.335
13 Madrid, Comunidad de;2017M07;579.523
13 Madrid, Comunidad de;2017M06;594.801
13 Madrid, Comunidad de;2017M05;624.915
13 Madrid, Comunidad de;2017M04;672.738
13 Madrid, Comunidad de;2017M03;478.054
13 Madrid, Comunidad de;2017M02;450.927
13 Madrid, Comunidad de;2017M01;489.884
13 Madrid, Comunidad de;2016M12;431.820
13 Madrid, Comunidad de;2016M11;454.904
13 Madrid, Comunidad de;2016M10;584.304
13 Madrid, Comunidad de;2016M09;581.127
13 Madrid, Comunidad de;2016M08;491.071
13 Madrid, Comunidad de;2016M07;514.073
13 Madrid, Comunidad de;2016M06;455.275
13 Madrid, Comunidad de;2016M05;559.893
13 Madrid, Comunidad de;2016M04;600.945
13 Madrid, Comunidad de;2016M03;379.512
13 Madrid, Comunidad de;2016M02;332.794
13 Madrid, Comunidad de;2016M01;397.420
13 Madrid, Comunidad de;2015M12;332.461
13 Madrid, Comunidad de;2015M11;371.205
13 Madrid, Comunidad de;2015M10;562.247
14 Murcia, Región de;2024M12;74.691
14 Murcia, Región de;2024M11;70.815
14 Murcia, Región de;2024M10;98.554
14 Murcia, Región de;2024M09;110.278
14 Murcia, Región de;2024M08;187.089
14 Murcia, Región de;2024M07;141.135
14 Murcia, Región de;2024M06;92.858
14 Murcia, Región de;2024M05;103.764
14 Murcia, Región de;2024M04;110.914
14 Murcia, Región de;2024M03;64.198
14 Murcia, Región de;2024M02;47.750
14 Murcia, Región de;2024M01;56.155
14 Murcia, Región de;2023M12;72.216
14 Murcia, Región de;2023M11;59.130
14 Murcia, Región de;2023M10;87.641
14 Murcia, Región de;2023M09;103.720
14 Murcia, Región de;2023M08;144.958
14 Murcia, Región de;2023M07;100.080
14 Murcia, Región de;2023M06;90.959
14 Murcia, Región de;2023M05;69.173
14 Murcia, Región de;2023M04;93.528
14 Murcia, Región de;2023M03;54.887
14 Murcia, Región de;2023M02;40.683
